Year,Predicted_Temperature_Anomaly
2026,1.190209707259399
2027,1.1904194132817902
2028,1.1906291180671815
2029,1.1908388216155799
2030,1.1910485239269928
2031,1.1912582250014274
2032,1.191467924838891
2033,1.191677623439391
2034,1.1918873208029346
2035,1.192097016929529
